condition,group,root_id,cell_type,side,rate_hz
odor_a_da1_left,mbons_nonzero,720575940623905719,MBON12,right,126.8
odor_a_da1_left,mbons_nonzero,720575940624117245,MBON01,right,171.0
odor_a_da1_left,mbons_nonzero,720575940624185095,MBON02,left,133.0
odor_a_da1_left,mbons_nonzero,720575940624280328,MBON33,right,56.6
odor_a_da1_left,mbons_nonzero,720575940624489964,"MBON25,MBON34",right,46.0
odor_a_da1_left,mbons_nonzero,720575940624539284,MBON18,left,95.4
odor_a_da1_left,mbons_nonzero,720575940624659943,"MBON25,MBON34",left,32.8
odor_a_da1_left,mbons_nonzero,720575940626109315,MBON19,right,8.4
odor_a_da1_left,mbons_nonzero,720575940626315010,MBON13,right,67.4
odor_a_da1_left,mbons_nonzero,720575940628783363,MBON07,right,134.0
odor_a_da1_left,mbons_nonzero,720575940629422086,MBON09,left,223.6
odor_a_da1_left,mbons_nonzero,720575940629529722,MBON10,left,32.2
odor_a_da1_left,mbons_nonzero,720575940629585602,MBON10,right,60.8
odor_a_da1_left,mbons_nonzero,720575940629856515,MBON09,left,223.6
odor_a_da1_left,mbons_nonzero,720575940629981440,MBON26,left,0.8
odor_a_da1_left,mbons_nonzero,720575940630075703,MBON12,left,148.6
odor_a_da1_left,mbons_nonzero,720575940630496374,MBON05,right,241.4
odor_a_da1_left,mbons_nonzero,720575940630767959,MBON15,left,36.4
odor_a_da1_left,mbons_nonzero,720575940630864847,MBON09,right,197.4
odor_a_da1_left,mbons_nonzero,720575940631177803,MBON24,left,100.0
odor_a_da1_left,mbons_nonzero,720575940632118343,MBON10,left,59.4
odor_a_da1_left,mbons_nonzero,720575940632535756,MBON14,left,161.2
odor_a_da1_left,mbons_nonzero,720575940633209647,MBON10,left,48.6
odor_a_da1_left,mbons_nonzero,720575940635063135,MBON22,right,8.0
odor_a_da1_left,mbons_nonzero,720575940635082347,MBON15-like,left,27.4
odor_a_da1_left,mbons_nonzero,720575940635841143,MBON15,left,17.8
odor_a_da1_left,mbons_nonzero,720575940636992368,MBON31,right,84.8
odor_a_da1_left,mbons_nonzero,720575940637902938,MBON35,left,93.4
odor_a_da1_left,mbons_nonzero,720575940637934308,MBON30,right,169.4
odor_a_da1_left,mbons_nonzero,720575940638028607,MBON06,right,196.2
odor_a_da1_left,mbons_nonzero,720575940638163428,MBON06,left,24.6
odor_a_da1_left,mbons_nonzero,720575940638526278,MBON32,right,92.6
odor_a_da1_left,mbons_nonzero,720575940639556467,MBON10,right,63.8
odor_a_da1_left,mbons_nonzero,720575940639697827,MBON14,right,151.8
odor_a_da1_left,mbons_nonzero,720575940642142861,MBON10,left,39.6
odor_a_da1_left,mbons_nonzero,720575940643696288,MBON14,left,169.0
odor_a_da1_left,mbons_nonzero,720575940643863496,MBON20,left,1.8
odor_a_da1_left,mbons_nonzero,720575940645304430,MBON13,left,82.0
odor_a_da1_left,mbons_nonzero,720575940647328900,MBON10,right,56.4
odor_a_da1_left,mbons_nonzero,720575940652390134,MBON07,left,160.0
odor_a_da1_left,pam_nonzero,720575940604479590,PAM08,left,65.6
odor_a_da1_left,pam_nonzero,720575940605113376,PAM08,right,39.6
odor_a_da1_left,pam_nonzero,720575940605280201,PAM08,right,47.6
odor_a_da1_left,pam_nonzero,720575940608071435,PAM08,right,62.6
odor_a_da1_left,pam_nonzero,720575940609414468,PAM04,left,77.6
odor_a_da1_left,pam_nonzero,720575940610430254,PAM07,right,48.6
odor_a_da1_left,pam_nonzero,720575940610569028,PAM08,left,70.0
odor_a_da1_left,pam_nonzero,720575940611129698,PAM10,left,15.0
odor_a_da1_left,pam_nonzero,720575940611918578,PAM08,right,38.0
odor_a_da1_left,pam_nonzero,720575940612623474,PAM08,right,45.2
odor_a_da1_left,pam_nonzero,720575940612802479,PAM04,left,63.2
odor_a_da1_left,pam_nonzero,720575940612857878,PAM08,right,33.0
odor_a_da1_left,pam_nonzero,720575940612920999,PAM11,left,29.2
odor_a_da1_left,pam_nonzero,720575940613338152,PAM04,right,49.8
odor_a_da1_left,pam_nonzero,720575940614991221,PAM08,left,6.0
odor_a_da1_left,pam_nonzero,720575940615607975,PAM01,left,5.2
odor_a_da1_left,pam_nonzero,720575940616882757,PAM11,left,33.8
odor_a_da1_left,pam_nonzero,720575940616986769,PAM08,left,68.0
odor_a_da1_left,pam_nonzero,720575940617145561,PAM01,right,17.8
odor_a_da1_left,pam_nonzero,720575940617242841,PAM08,right,37.8
odor_a_da1_left,pam_nonzero,720575940617553809,PAM08,left,18.4
odor_a_da1_left,pam_nonzero,720575940618744118,PAM01,left,46.2
odor_a_da1_left,pam_nonzero,720575940619101062,PAM11,left,64.6
odor_a_da1_left,pam_nonzero,720575940619251416,PAM08,left,37.8
odor_a_da1_left,pam_nonzero,720575940619299054,PAM08,left,55.2
odor_a_da1_left,pam_nonzero,720575940619402576,PAM07,right,35.0
odor_a_da1_left,pam_nonzero,720575940619785492,PAM01,left,2.4
odor_a_da1_left,pam_nonzero,720575940619823536,PAM08,right,59.8
odor_a_da1_left,pam_nonzero,720575940619844261,PAM08,left,38.0
odor_a_da1_left,pam_nonzero,720575940620260800,PAM05,left,15.6
odor_a_da1_left,pam_nonzero,720575940620341931,PAM07,right,37.6
odor_a_da1_left,pam_nonzero,720575940620423533,PAM10,right,60.2
odor_a_da1_left,pam_nonzero,720575940620576238,PAM10,right,55.4
odor_a_da1_left,pam_nonzero,720575940621085622,PAM08,right,36.4
odor_a_da1_left,pam_nonzero,720575940621136519,PAM11,left,57.6
odor_a_da1_left,pam_nonzero,720575940621216982,PAM08,right,56.0
odor_a_da1_left,pam_nonzero,720575940621462512,PAM01,right,29.2
odor_a_da1_left,pam_nonzero,720575940621617286,PAM08,left,43.8
odor_a_da1_left,pam_nonzero,720575940622107869,PAM08,left,27.2
odor_a_da1_left,pam_nonzero,720575940622338269,PAM08,right,49.8
odor_a_da1_left,pam_nonzero,720575940622387981,PAM08,left,37.4
odor_a_da1_left,pam_nonzero,720575940622701808,PAM11,right,6.8
odor_a_da1_left,pam_nonzero,720575940623201023,PAM04,left,56.0
odor_a_da1_left,pam_nonzero,720575940623398524,PAM08,right,45.8
odor_a_da1_left,pam_nonzero,720575940623696647,PAM05,left,26.6
odor_a_da1_left,pam_nonzero,720575940623792055,PAM10,left,64.2
odor_a_da1_left,pam_nonzero,720575940624545940,PAM07,left,1.2
odor_a_da1_left,pam_nonzero,720575940624629223,PAM07,left,19.4
odor_a_da1_left,pam_nonzero,720575940624661031,PAM10,right,49.4
odor_a_da1_left,pam_nonzero,720575940624859725,PAM04,right,71.0
odor_a_da1_left,pam_nonzero,720575940625568186,PAM08,left,40.6
odor_a_da1_left,pam_nonzero,720575940625615248,PAM04,right,39.4
odor_a_da1_left,pam_nonzero,720575940626420045,PAM04,left,44.4
odor_a_da1_left,pam_nonzero,720575940626506472,PAM11,left,10.4
odor_a_da1_left,pam_nonzero,720575940626878460,PAM10,right,60.2
odor_a_da1_left,pam_nonzero,720575940627103877,PAM04,left,67.2
odor_a_da1_left,pam_nonzero,720575940627194501,PAM07,right,49.8
odor_a_da1_left,pam_nonzero,720575940627644584,PAM08,right,60.0
odor_a_da1_left,pam_nonzero,720575940627680516,PAM07,left,2.6
odor_a_da1_left,pam_nonzero,720575940628094663,PAM07,left,29.6
odor_a_da1_left,pam_nonzero,720575940628615683,PAM01,left,16.6
odor_a_da1_left,pam_nonzero,720575940628687207,PAM01,left,21.8
