condition,group,root_id,cell_type,side,rate_hz
odor_b_dl2d_left,pam_nonzero,720575940604479590,PAM08,left,74.0
odor_b_dl2d_left,pam_nonzero,720575940605113376,PAM08,right,44.2
odor_b_dl2d_left,pam_nonzero,720575940605221065,PAM01,right,0.2
odor_b_dl2d_left,pam_nonzero,720575940605280201,PAM08,right,51.2
odor_b_dl2d_left,pam_nonzero,720575940605891040,PAM11,left,22.8
odor_b_dl2d_left,pam_nonzero,720575940608071435,PAM08,right,69.8
odor_b_dl2d_left,pam_nonzero,720575940609414468,PAM04,left,99.0
odor_b_dl2d_left,pam_nonzero,720575940610430254,PAM07,right,54.2
odor_b_dl2d_left,pam_nonzero,720575940610523746,PAM04,right,3.0
odor_b_dl2d_left,pam_nonzero,720575940610569028,PAM08,left,78.0
odor_b_dl2d_left,pam_nonzero,720575940611129698,PAM10,left,46.0
odor_b_dl2d_left,pam_nonzero,720575940611918578,PAM08,right,42.4
odor_b_dl2d_left,pam_nonzero,720575940612623474,PAM08,right,50.0
odor_b_dl2d_left,pam_nonzero,720575940612802479,PAM04,left,83.2
odor_b_dl2d_left,pam_nonzero,720575940612857878,PAM08,right,39.6
odor_b_dl2d_left,pam_nonzero,720575940612920999,PAM11,left,47.2
odor_b_dl2d_left,pam_nonzero,720575940613338152,PAM04,right,69.2
odor_b_dl2d_left,pam_nonzero,720575940614991221,PAM08,left,24.6
odor_b_dl2d_left,pam_nonzero,720575940615607975,PAM01,left,19.2
odor_b_dl2d_left,pam_nonzero,720575940616882757,PAM11,left,52.6
odor_b_dl2d_left,pam_nonzero,720575940616986769,PAM08,left,75.2
odor_b_dl2d_left,pam_nonzero,720575940617145561,PAM01,right,28.0
odor_b_dl2d_left,pam_nonzero,720575940617242841,PAM08,right,45.0
odor_b_dl2d_left,pam_nonzero,720575940617553809,PAM08,left,27.2
odor_b_dl2d_left,pam_nonzero,720575940618744118,PAM01,left,53.2
odor_b_dl2d_left,pam_nonzero,720575940619101062,PAM11,left,83.0
odor_b_dl2d_left,pam_nonzero,720575940619251416,PAM08,left,45.0
odor_b_dl2d_left,pam_nonzero,720575940619299054,PAM08,left,64.0
odor_b_dl2d_left,pam_nonzero,720575940619402576,PAM07,right,40.2
odor_b_dl2d_left,pam_nonzero,720575940619785492,PAM01,left,20.4
odor_b_dl2d_left,pam_nonzero,720575940619823536,PAM08,right,63.0
odor_b_dl2d_left,pam_nonzero,720575940619844261,PAM08,left,44.0
odor_b_dl2d_left,pam_nonzero,720575940620260800,PAM05,left,22.4
odor_b_dl2d_left,pam_nonzero,720575940620341931,PAM07,right,43.8
odor_b_dl2d_left,pam_nonzero,720575940620423533,PAM10,right,80.2
odor_b_dl2d_left,pam_nonzero,720575940620576238,PAM10,right,76.4
odor_b_dl2d_left,pam_nonzero,720575940621085622,PAM08,right,41.0
odor_b_dl2d_left,pam_nonzero,720575940621136519,PAM11,left,73.2
